NominalSize;Table;T;HolesNo.;HolesD.;PCD;OutsideDiameter;InternalDiameter
32;F/3;12,7;4;17,5;98,4;133,3;44
32;ASA 150;15,9;4;15,9;88,9;117,5;44
40;6/3;16;4;14;100;130;50
40;10/3;18;4;18;110;150;50
40;16/3;18;4;18;110;150;50
40;25/3;18;4;18;110;150;50
40;40/3;18;4;18;110;150;50
40;600/3;10;4;14;100;130;50
40;1000/3;10;4;18;110;150;50
40;1600/3;10;4;18;110;150;50
40;2500/3;20;4;18;110;150;50
40;4000/3;20;4;18;110;150;50
40;D/3;9,5;4;14,2;98,4;133,4;50
40;E/3;9,5;4;14,2;98,4;133,4;50
40;F/3;12,7;4;17,5;104,8;139,7;50
40;ASA 150;17,5;4;15,9;98,4;127;50
50;6/3;16;4;14;110;140;62
50;10/3;20;4;18;125;165;62
50;16/3;20;4;18;125;165;62
50;25/3;20;4;18;125;165;62
50;40/3;20;4;18;125;165;62
50;600/3;10;4;14;110;140;62
50;1000/3;10;4;18;125;165;62
50;1600/3;12;4;18;125;165;62
50;2500/3;20;4;18;125;165;62
50;4000/3;20;4;18;125;165;62
50;D/3;9,5;4;17,5;114,3;152,4;62
50;E/3;9,5;4;17,5;114,3;152,4;62
50;F/3;15,9;4;17,5;127;165,1;62
50;ASA 150;19;4;19;120,6;152,4;62
65;6/3;16;4;14;130;160;75
65;10/3;20;4;18;145;185;75
65;16/3;20;4;18;145;185;75
65;25/3;22;8;18;145;185;75
65;40/3;22;8;18;145;185;75
65;600/3;10;4;14;130;160;75
65;1000/3;12;4;18;145;185;75
65;1600/3;12;4;18;145;185;75
65;2500/3;22;8;18;145;185;75
65;4000/3;22;8;18;145;185;75
65;D/3;9,5;4;17,5;127;165,1;75
65;E/3;10,3;4;17,5;127;165,1;75
65;F/3;15,9;8;17,5;146;184,1;75
65;ASA 150;22,2;4;19;139,7;177,8;75
80;6/3;18;4;18;150;190;91
80;10/3;20;8;18;160;200;91
80;16/3;20;8;18;160;200;91
80;25/3;24;8;18;160;200;91
80;40/3;24;8;18;160;200;91
80;600/3;10;4;18;150;190;91
80;1000/3;12;8;18;160;200;91
80;1600/3;14;8;18;160;200;91
80;2500/3;22;8;18;160;200;91
80;4000/3;22;8;18;160;200;91
80;D/3;9,5;4;17,5;146;184,1;91
80;E/3;11,1;4;17,5;146;184,1;91
80;F/3;15,9;8;17,5;165,1;203,2;91
80;ASA 150;23,8;4;19;152,4;190,5;91
100;6/3;18;4;18;170;210;116
100;10/3;22;8;18;180;220;116
100;16/3;22;8;18;180;220;116
100;25/3;26;8;22;190;235;116
100;40/3;26;8;22;190;235;116
100;600/3;10;4;18;170;210;116
100;1000/3;12;8;18;180;220;116
100;1600/3;14;8;18;180;220;116
100;2500/3;25;8;22;190;235;116
100;4000/3;25;8;22;190;235;116
100;D/3;9,5;4;17,5;177,8;215,9;116
100;E/3;12,7;8;17,5;177,8;215,9;116
100;F/3;19;8;17,5;190,5;228,6;116
100;ASA 150;23,8;8;19;190,5;228,6;116
125;6/3;20;8;18;200;240;141
125;10/3;22;8;18;210;250;141
125;16/3;22;8;18;210;250;141
125;25/3;28;8;26;220;270;141
125;40/3;28;8;26;220;270;141
125;600/3;12;8;18;200;240;141
125;1000/3;14;8;18;210;250;141
125;1600/3;16;8;18;210;250;141
125;2500/3;28;8;26;220;270;141
125;4000/3;28;8;26;220;270;141
125;D/3;12,7;8;17,5;209,6;254;141
125;E/3;14,3;8;17,5;209,6;254;141
125;F/3;22;8;22,2;234,9;279,4;141
125;ASA 150;23,8;8;22,2;215,9;254;141
150;6/3;20;8;18;225;265;168
150;10/3;24;8;22;240;285;168
150;16/3;24;8;22;240;285;168
150;25/3;30;8;26;250;300;168
150;40/3;30;8;26;250;300;168
150;600/3;12;8;18;225;265;168
150;1000/3;16;8;22;240;285;168
150;1600/3;18;8;22;240;285;168
150;2500/3;30;8;26;250;300;168
150;4000/3;30;8;26;250;300;168
150;D/3;12,7;8;17,5;235;279,4;168
150;E/3;17,5;8;22,2;235;279,4;168
150;F/3;22,2;12;22,2;260,4;304,8;168
150;ASA 150;25,4;8;22,2;241,3;279,4;168
200;6/3;22;8;18;280;320;221
200;10/3;24;8;22;295;340;221
200;16/3;26;12;22;295;340;221
200;25/3;32;12;26;310;360;221
200;40/3;36;12;30;320;375;221
200;600/3;14;8;18;280;320;221
200;1000/3;18;8;22;295;340;221
200;1600/3;22;12;22;295;340;221
200;2500/3;28;12;26;310;360;221
200;4000/3;32;12;26;320;375;221
200;D/3;12.7;8;17.5;292.1;336.6;221
200;E/3;19;8;22.2;292.1;336.6;221
200;F/3;25.4;12;22.2;323.9;368.3;221
200;ASA 150;28.6;8;22.2;298.4;342.9;221
250;6/3;24;12;18;335;375;276
250;10/3;26;12;22;350;395;276
250;16/3;29;12;26;355;405;276
250;25/3;35;12;30;370;425;276
250;40/3;42;12;33;385;450;276
250;600/3;16;12;18;335;375;276
250;1000/3;20;12;22;350;395;276
250;1600/3;25;12;26;355;405;276
250;2500/3;30;12;26;370;425;276
250;4000/3;38;12;33;385;450;276
250;D/3;15.9;8;22.2;355.6;406.4;276
250;E/3;22.2;12;22.2;355.6;406.4;276
250;F/3;28,6;12;25,4;381,1;431,8;276
250;ASA 150;30,2;12;25,4;361,9;406,4;276
300;6/3;24;12;22;395;440;327
300;10/3;26;12;22;400;445;327
300;16/3;32;12;26;410;460;327
300;25/3;38;16;30;430;485;327
300;40/3;52;16;33;450;515;327
300;600/3;20;12;22;395;440;327
300;1000/3;22;12;22;400;445;327
300;1600/3;28;12;26;410;460;327
300;2500/3;32;16;26;430;485;327
300;4000/3;40;16;33;450;515;327
300;D/3;19;12;22,2;406,4;457,2;327
300;E/3;25,4;12;25,4;406,4;457,2;327
300;F/3;31,8;16;25,4;438,2;489;327
300;ASA 150;31,7;12;25,4;431,8;482,6;327
