PCD;NominalSize1;Table1;NominalSize2;Table2;NominalSize3;Table3;NominalSize4;Table4;NominalSize5;Table5;NominalSize6;Table6;NominalSize7;Table7;NominalSize8;Table8;NominalSize9;Table9;NominalSize10;Table10
88.7;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88.8;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88.9;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
89;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
89.1;88.9;32;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88.8;90;32;6/3;32;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88.9;90;32;6/3;32;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
90;90;32;6/3;32;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
90.1;90;32;6/3;32;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
90.2;90;32;6/3;32;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
97.1;97.3;25;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
97.2;97.3;25;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
97.3;97.3;25;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
97.4;97.3;25;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
97.5;97.3;25;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
98.2;98.4;32;F/3;40;D/3;40;E/3;40;ASA150;-;-;-;-;-;-;-;-;-;-;-;-
98.3;98.4;32;F/3;40;D/3;40;E/3;40;ASA150;-;-;-;-;-;-;-;-;-;-;-;-
98.4;98.4;32;F/3;40;D/3;40;E/3;40;ASA150;-;-;-;-;-;-;-;-;-;-;-;-
98.5;98.4;32;F/3;40;D/3;40;E/3;40;ASA150;-;-;-;-;-;-;-;-;-;-;-;-
98.6;98.4;32;F/3;40;D/3;40;E/3;40;ASA150;-;-;-;-;-;-;-;-;-;-;-;-
99.8;100;32;10/3;32;16/3;32;25/3;32;40/3;32;1000/3;32;1600/3;32;2500/3;32;4000/3;40;6/3;40;600/3
99.9;100;32;10/3;32;16/3;32;25/3;32;40/3;32;1000/3;32;1600/3;32;2500/3;32;4000/3;40;6/3;40;600/3
100;100;32;10/3;32;16/3;32;25/3;32;40/3;32;1000/3;32;1600/3;32;2500/3;32;4000/3;40;6/3;40;600/3
100.1;100;32;10/3;32;16/3;32;25/3;32;40/3;32;1000/3;32;1600/3;32;2500/3;32;4000/3;40;6/3;40;600/3
100.2;100;32;10/3;32;16/3;32;25/3;32;40/3;32;1000/3;32;1600/3;32;2500/3;32;4000/3;40;6/3;40;600/3
104.6;104.8;40;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
104.7;104.8;40;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
104.8;104.8;40;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
104.9;104.8;40;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
105;104.8;40;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
109.8;110;40;10/3;40;16/3;40;25/3;40;40/3;40;1000/3;40;1600/3;40;2500/3;40;4000/3;50;6/3;50;600/3
109.9;110;40;10/3;40;16/3;40;25/3;40;40/3;40;1000/3;40;1600/3;40;2500/3;40;4000/3;50;6/3;50;600/3
110;110;40;10/3;40;16/3;40;25/3;40;40/3;40;1000/3;40;1600/3;40;2500/3;40;4000/3;50;6/3;50;600/3
110.1;110;40;10/3;40;16/3;40;25/3;40;40/3;40;1000/3;40;1600/3;40;2500/3;40;4000/3;50;6/3;50;600/3
110.2;110;40;10/3;40;16/3;40;25/3;40;40/3;40;1000/3;40;1600/3;40;2500/3;40;4000/3;50;6/3;50;600/3
114.1;114.3;50;D/3;50;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
114.2;114.3;50;D/3;50;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
114.3;114.3;50;D/3;50;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
114.4;114.3;50;D/3;50;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
114.5;114.3;50;D/3;50;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120.4;120.6;50;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120.5;120.6;50;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120.6;120.6;50;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120.7;120.6;50;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120.8;120.6;50;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
124.8;125;50;10/3;50;16/3;50;25/3;50;40/3;50;1000/3;50;1600/3;50;2500/3;50;4000/3;-;-;-;-
124.9;125;50;10/3;50;16/3;50;25/3;50;40/3;50;1000/3;50;1600/3;50;2500/3;50;4000/3;-;-;-;-
125;125;50;10/3;50;16/3;50;25/3;50;40/3;50;1000/3;50;1600/3;50;2500/3;50;4000/3;-;-;-;-
125.1;125;50;10/3;50;16/3;50;25/3;50;40/3;50;1000/3;50;1600/3;50;2500/3;50;4000/3;-;-;-;-
125.2;125;50;10/3;50;16/3;50;25/3;50;40/3;50;1000/3;50;1600/3;50;2500/3;50;4000/3;-;-;-;-
126.8;127;50;F/3;65;D/3;65;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
126.9;127;50;F/3;65;D/3;65;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
127;127;50;F/3;65;D/3;65;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
127.1;127;50;F/3;65;D/3;65;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
127.2;127;50;F/3;65;D/3;65;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
