PCD;NominalSize1;Table1;NominalSize2;Table2;NominalSize3;Table3;NominalSize4;Table4;NominalSize5;Table5;NominalSize6;Table6;NominalSize7;Table7;NominalSize8;Table8;NominalSize9;Table9;NominalSize10;Table10
292.2;292.1;200;D/3;200;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
292.3;292.1;200;D/3;200;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
294.8;295;200;10/3;200;16/3;200;1000/3;200;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
294.9;295;200;10/3;200;16/3;200;1000/3;200;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
295;295;200;10/3;200;16/3;200;1000/3;200;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
295.1;295;200;10/3;200;16/3;200;1000/3;200;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
295.2;295;200;10/3;200;16/3;200;1000/3;200;1600/3;-;-;-;-;-;-;-;-;-;-;-;-
298.2;298.4;200;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
298.3;298.4;200;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
298.4;298.4;200;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
298.5;298.4;200;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
298.6;298.4;200;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
309.8;310;200;25/3;200;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
309.9;310;200;25/3;200;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
310;310;200;25/3;200;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
310.1;310;200;25/3;200;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
310.2;310;200;25/3;200;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
319.8;320;200;40/3;200;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
319.9;320;200;40/3;200;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
320;320;200;40/3;200;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
320.1;320;200;40/3;200;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
320.2;320;200;40/3;200;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
323.7;323.9;200;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
323.8;323.9;200;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
323.9;323.9;200;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
324;323.9;200;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
324.1;323.9;200;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
334.8;335;250;6/3;250;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
334.9;335;250;6/3;250;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
335;335;250;6/3;250;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
335.1;335;250;6/3;250;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
335.2;335;250;6/3;250;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
349.8;350;250;10/3;250;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
349.9;350;250;10/3;250;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350;350;250;10/3;250;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350.1;350;250;10/3;250;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
350.2;350;250;10/3;250;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
349.8;355;250;16/3;250;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
349.9;355;250;16/3;250;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355;355;250;16/3;250;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355.1;355;250;16/3;250;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355.2;355;250;16/3;250;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355.4;355.6;250;D/3;250;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355.5;355.6;250;D/3;250;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355.6;355.6;250;D/3;250;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355.7;355.6;250;D/3;250;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
355.8;355.6;250;D/3;250;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
361.7;361.9;250;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
361.8;361.9;250;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
361.9;361.9;250;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
362;361.9;250;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
362.1;361.9;250;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
369.8;370;250;25/3;250;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
369.9;370;250;25/3;250;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
370;370;250;25/3;250;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
370.1;370;250;25/3;250;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
370.2;370;250;25/3;250;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
380.9;381.1;250;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
381;381.1;250;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
381.1;381.1;250;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
381.2;381.1;250;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
381.3;381.1;250;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
384.8;385;250;40/3;250;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
384.9;385;250;40/3;250;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
385;385;250;40/3;250;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
385.1;385;250;40/3;250;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
385.2;385;250;40/3;250;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
394.8;395;300;6/3;300;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
394.9;395;300;6/3;300;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
395;395;300;6/3;300;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
395.1;395;300;6/3;300;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
395.2;395;300;6/3;300;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
399.8;400;300;10/3;300;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
399.9;400;300;10/3;300;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
400;400;300;10/3;300;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
400.1;400;300;10/3;300;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
400.2;400;300;10/3;300;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
406.2;406.4;300;D/3;300;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
406.3;406.4;300;D/3;300;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
406.4;406.4;300;D/3;300;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
406.5;406.4;300;D/3;300;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
406.6;406.4;300;D/3;300;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
409.8;410;300;16/3;300;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
409.9;410;300;16/3;300;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
410;410;300;16/3;300;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
410.1;410;300;16/3;300;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
410.2;410;300;16/3;300;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
429.8;430;300;25/3;300;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
429.9;430;300;25/3;300;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430;430;300;25/3;300;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430.1;430;300;25/3;300;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430.2;430;300;25/3;300;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431.6;431.8;300;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431.7;431.8;300;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431.8;431.8;300;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431.9;431.8;300;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
432;431.8;300;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
438;438.2;300;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
438.1;438.2;300;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
438.2;438.2;300;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
438.3;438.2;300;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
438.4;438.2;300;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
449.8;450;300;40/3;300;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
449.9;450;300;40/3;300;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
450;450;300;40/3;300;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
450.1;450;300;40/3;300;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
450.2;450;300;40/3;300;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-




