PCD;NominalSize1;Table1;NominalSize2;Table2;NominalSize3;Table3;NominalSize4;Table4;NominalSize5;Table5;NominalSize6;Table6;NominalSize7;Table7;NominalSize8;Table8;NominalSize9;Table9;NominalSize10;Table10
385;250;40/3;250;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
395;300;6/3;300;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
400;300;10/3;300;1000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
406.4;300;D/3;300;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
410;300;16/3;300;1600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430;300;25/3;300;2500/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431.8;300;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
438.2;300;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
450;300;40/3;300;4000/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-

